satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,Salary
0.62,0.58,3.0,202.0,2.0,0.0,0,0,support,low
0.63,0.86,3.0,245.0,2.0,0.0,0,0,marketing,low
0.5,0.75,4.0,239.0,2.0,0.0,0,0,accounting,low
0.43,0.65,4.0,124.0,2.0,0.0,0,0,sales,low
0.39,0.37,5.0,156.0,4.0,0.0,0,0,sales,low
0.38,0.53,1.9999999999999998,157.0,3.0,0.0,1,0,sales,low
0.08999999999999997,0.87,7.0,295.0,4.0,0.0,1,0,product_mng,low
0.22999999999999998,0.88,4.0,175.0,6.0,0.0,0,0,technical,medium
0.71,0.74,4.0,206.0,4.0,0.0,0,0,product_mng,low
0.63,0.49,3.0,252.0,3.0,0.0,0,0,sales,low
0.96,0.58,5.0,178.0,3.0,0.0,0,0,product_mng,low
0.86,0.9,4.0,162.0,3.0,0.0,0,0,product_mng,low
0.54,0.61,4.0,118.0,5.0,0.0,0,0,support,medium
0.48,0.8,5.0,235.0,2.0,0.0,0,0,support,low
0.88,0.72,4.0,249.0,3.0,1.0,0,0,RandD,medium
0.99,0.67,3.0,200.0,2.0,0.0,0,0,technical,low
0.86,0.56,5.0,237.0,3.0,0.0,0,0,technical,low
0.89,0.87,5.0,255.0,5.0,0.0,1,0,RandD,low
0.67,0.93,5.0,133.0,2.0,0.0,0,0,sales,low
0.9,0.81,4.0,144.0,2.0,0.0,0,0,technical,low
0.52,0.94,3.0,263.0,3.0,0.0,0,0,product_mng,low
0.75,0.5,4.0,155.0,2.0,1.0,0,0,hr,medium
0.57,0.72,4.0,275.0,6.0,0.0,1,0,technical,low
0.58,0.53,4.0,181.0,3.0,1.0,0,0,sales,low
0.99,0.75,3.0,243.0,3.0,0.0,0,0,support,low
0.08999999999999997,0.83,6.0,286.0,4.0,0.0,1,0,hr,low
0.48,0.97,3.0,224.0,6.0,0.0,0,0,sales,medium
0.7,0.74,4.0,150.0,3.0,1.0,0,0,technical,low
0.92,0.99,3.0,176.0,8.0,0.0,0,0,sales,medium
0.7,0.54,4.0,150.0,4.0,0.0,0,0,technical,medium
0.54,0.76,5.0,226.0,2.0,0.0,0,0,product_mng,low
0.94,0.62,5.0,201.0,2.0,0.0,0,0,sales,low
0.58,0.84,5.0,228.0,3.0,0.0,0,0,product_mng,low
0.67,0.52,1.9999999999999998,152.0,5.0,0.0,0,0,technical,medium
0.71,0.5,3.0,201.0,2.0,0.0,0,0,sales,low
0.77,0.58,4.0,202.0,3.0,0.0,0,0,sales,low
0.37,0.52,1.9999999999999998,159.0,3.0,0.0,1,0,sales,low
0.79,0.99,4.0,183.0,2.0,0.0,0,0,marketing,low
0.59,0.87,4.0,191.0,2.0,0.0,0,0,technical,low
0.77,0.74,6.0,247.0,3.0,0.0,0,0,management,medium
0.49,0.54,3.0,145.0,3.0,0.0,0,0,product_mng,low
0.87,0.75,4.0,218.0,2.0,0.0,0,0,sales,low
0.74,0.83,3.0,170.0,3.0,0.0,0,0,management,high
0.64,0.67,5.0,198.0,2.0,1.0,0,0,support,low
0.64,0.78,5.0,148.0,4.0,0.0,0,0,sales,low
0.84,0.6,3.0,186.0,3.0,1.0,0,0,support,low
0.87,0.67,5.0,143.0,3.0,0.0,0,0,sales,low
0.96,1.0,5.0,148.0,3.0,0.0,0,0,product_mng,low
0.2,0.87,3.0,140.0,6.0,1.0,0,0,hr,medium
0.28,0.52,3.0,127.0,4.0,0.0,0,0,product_mng,low
0.08999999999999997,0.96,6.0,245.0,4.0,0.0,1,0,product_mng,low
0.31,0.77,4.0,149.0,3.0,0.0,1,0,sales,low
0.49,0.65,4.0,233.0,7.0,0.0,0,0,sales,medium
0.75,0.93,5.0,210.0,3.0,0.0,0,0,support,low
0.12,0.9,3.0,200.0,3.0,0.0,0,0,support,low
0.75,0.69,1.9999999999999998,257.0,2.0,1.0,0,0,product_mng,low
1.0,0.59,5.0,182.0,3.0,1.0,0,0,management,medium
0.49,0.95,4.0,156.0,2.0,0.0,0,0,technical,low
0.94,0.61,3.0,140.0,2.0,0.0,0,0,support,low
0.96,0.47,1.9999999999999998,233.0,5.0,1.0,0,0,technical,medium
0.73,0.91,4.0,247.0,5.0,0.0,1,0,support,low
0.49,0.99,6.0,230.0,4.0,0.0,0,0,accounting,medium
0.08999999999999997,0.89,6.0,276.0,4.0,0.0,1,0,technical,low
0.59,0.75,4.0,266.0,3.0,0.0,0,0,accounting,low
0.78,0.63,4.0,156.0,3.0,0.0,0,0,sales,low
0.53,0.71,3.0,125.0,2.0,1.0,0,0,sales,low
0.74,0.86,5.0,262.0,5.0,0.0,1,0,RandD,low
0.49,0.92,5.0,176.0,3.0,0.0,0,0,marketing,low
0.55,0.54,5.0,168.0,2.0,0.0,0,0,sales,low
0.74,0.99,5.0,263.0,5.0,0.0,1,0,RandD,low
0.83,0.96,5.0,275.0,5.0,0.0,1,0,support,low
0.81,0.77,5.0,167.0,4.0,0.0,0,0,product_mng,low
0.14,0.73,6.0,237.0,5.0,0.0,0,0,product_mng,medium
0.82,0.73,4.0,195.0,5.0,1.0,0,0,technical,medium
0.82,0.89,4.0,237.0,3.0,0.0,0,0,support,low
0.85,0.99,6.0,153.0,6.0,0.0,0,0,technical,medium
0.55,0.7,3.0,237.0,4.0,0.0,0,0,sales,low
0.62,0.57,3.0,174.0,2.0,0.0,0,0,sales,low
0.74,0.66,3.0,254.0,2.0,0.0,0,0,support,low
0.37,0.41,1.9999999999999998,113.0,3.0,0.0,0,1,RandD,medium
0.9,0.92,4.0,271.0,5.0,0.0,1,0,product_mng,low
0.49,0.92,4.0,229.0,2.0,0.0,0,0,technical,low
0.75,0.81,3.0,214.0,3.0,0.0,0,0,product_mng,low
0.22999999999999998,0.94,4.0,142.0,4.0,0.0,0,0,sales,low
0.75,0.64,3.0,195.0,3.0,0.0,0,0,sales,low
0.43,0.66,4.0,135.0,2.0,0.0,0,0,product_mng,low
0.88,0.85,4.0,231.0,3.0,0.0,0,0,product_mng,low
0.39,0.57,1.9999999999999998,133.0,3.0,0.0,1,0,technical,low
0.24,0.63,4.0,203.0,5.0,0.0,0,0,technical,medium
0.54,0.71,1.9999999999999998,194.0,2.0,0.0,0,0,support,low
0.42,0.55,1.9999999999999998,150.0,3.0,0.0,1,0,technical,low
0.68,0.69,4.0,225.0,2.0,0.0,0,0,technical,low
0.53,0.73,5.0,174.0,3.0,0.0,0,0,accounting,low
0.49,0.88,4.0,270.0,3.0,0.0,0,0,product_mng,low
0.53,0.92,3.0,199.0,2.0,0.0,0,0,hr,medium
0.64,0.71,3.0,231.0,4.0,0.0,0,0,technical,medium
0.76,1.0,5.0,219.0,5.0,0.0,1,0,support,low
0.83,0.56,4.0,269.0,3.0,0.0,0,0,product_mng,low
0.54,0.77,3.0,185.0,3.0,0.0,0,0,support,low
0.08999999999999997,0.87,3.0,214.0,2.0,0.0,1,0,support,low
0.82,0.67,3.0,229.0,3.0,0.0,0,0,sales,low
0.43,0.56,1.9999999999999998,157.0,3.0,0.0,1,0,sales,low
0.8,0.38,3.0,215.0,6.0,0.0,0,0,support,medium
0.74,0.97,4.0,228.0,5.0,0.0,1,0,hr,low
0.6,0.92,4.0,164.0,4.0,0.0,0,0,sales,low
0.81,0.73,4.0,272.0,2.0,0.0,0,0,sales,low
0.99,0.64,4.0,135.0,2.0,1.0,0,0,sales,low
0.74,0.71,4.0,133.0,2.0,0.0,0,0,technical,low
0.73,0.93,3.0,249.0,2.0,0.0,0,0,product_mng,low
0.9,0.99,5.0,260.0,5.0,0.0,1,0,sales,low
0.45,0.52,1.9999999999999998,147.0,3.0,0.0,1,0,technical,low
0.51,0.78,3.0,155.0,2.0,0.0,0,0,management,high
0.98,0.51,4.0,223.0,2.0,0.0,0,0,sales,low
0.48,0.5,5.0,142.0,4.0,0.0,0,0,product_mng,low
0.98,0.5,3.0,251.0,3.0,0.0,0,0,technical,medium
0.66,0.61,4.0,263.0,4.0,0.0,0,0,sales,low
0.42,0.52,1.9999999999999998,134.0,3.0,0.0,1,0,sales,low
0.89,0.57,3.0,252.0,2.0,0.0,0,0,support,low
0.39,0.5,1.9999999999999998,136.0,3.0,0.0,1,0,management,low
0.38,0.55,1.9999999999999998,134.0,3.0,0.0,1,0,support,low
0.10999999999999999,0.97,6.0,277.0,4.0,0.0,1,0,product_mng,low
0.43,0.57,1.9999999999999998,160.0,3.0,0.0,1,0,technical,low
0.73,0.72,5.0,178.0,2.0,0.0,0,0,management,medium
0.4,0.54,1.9999999999999998,139.0,3.0,0.0,1,0,marketing,low
0.8,0.51,5.0,196.0,3.0,0.0,0,0,product_mng,low
0.41,0.46,1.9999999999999998,151.0,3.0,0.0,1,0,product_mng,low
0.35,0.6,5.0,239.0,5.0,0.0,0,0,support,medium
1.0,0.66,4.0,173.0,2.0,0.0,0,0,support,low
0.95,0.68,3.0,165.0,3.0,0.0,0,0,product_mng,low
0.54,0.91,3.0,249.0,3.0,0.0,0,0,technical,low
0.78,0.99,3.0,151.0,3.0,1.0,0,0,product_mng,low
0.49,0.68,3.0,192.0,7.0,0.0,0,0,management,high
0.42,0.8,4.0,279.0,6.0,0.0,0,0,sales,medium
0.09999999999999998,0.96,6.0,264.0,4.0,0.0,1,0,management,low
0.66,0.54,1.9999999999999998,136.0,2.0,0.0,0,0,technical,low
0.4,0.48,4.0,97.0,2.0,0.0,0,0,product_mng,low
0.67,0.71,4.0,178.0,6.0,0.0,0,0,product_mng,medium
0.61,0.68,3.0,254.0,2.0,0.0,0,0,accounting,low
0.82,0.9,4.0,232.0,3.0,0.0,0,0,RandD,medium
0.81,0.98,5.0,237.0,5.0,0.0,1,0,product_mng,low
0.71,0.66,3.0,268.0,4.0,0.0,0,0,marketing,medium
0.43,0.49,1.9999999999999998,131.0,3.0,0.0,1,0,RandD,low
0.24,0.55,6.0,231.0,4.0,0.0,0,0,sales,low
0.48,0.89,3.0,224.0,3.0,0.0,0,0,sales,low
0.82,0.97,5.0,263.0,5.0,0.0,1,0,hr,low
1.0,0.89,3.0,189.0,3.0,0.0,0,0,sales,low
0.69,0.72,4.0,210.0,2.0,1.0,0,0,sales,low
0.57,0.61,4.0,158.0,5.0,0.0,1,0,support,low
0.77,1.0,4.0,232.0,5.0,0.0,1,0,technical,low
0.63,0.94,3.0,172.0,3.0,0.0,0,0,management,medium
0.91,0.91,6.0,167.0,2.0,1.0,0,0,sales,low
0.98,0.53,3.0,234.0,3.0,0.0,0,0,sales,low
0.71,0.94,4.0,209.0,3.0,0.0,0,0,sales,low
0.21999999999999997,0.8,4.0,149.0,5.0,0.0,0,0,product_mng,medium
0.53,0.49,4.0,192.0,2.0,0.0,0,0,support,low
0.15000000000000002,0.81,3.0,191.0,5.0,0.0,0,0,management,high
0.6,0.89,3.0,232.0,2.0,0.0,0,0,support,low
0.09999999999999998,0.95,7.0,289.0,4.0,0.0,1,0,product_mng,low
0.72,0.86,5.0,251.0,5.0,0.0,1,0,sales,low
0.73,0.91,4.0,248.0,2.0,1.0,0,0,technical,low
0.6,0.52,3.0,236.0,3.0,0.0,0,0,sales,low
0.51,0.86,4.0,223.0,3.0,1.0,0,0,support,low
0.25,0.68,4.0,279.0,5.0,1.0,0,0,product_mng,medium
0.61,0.51,3.0,207.0,3.0,0.0,0,0,RandD,medium
0.31,0.41,1.9999999999999998,263.0,3.0,0.0,0,0,management,high
0.93,0.92,3.0,205.0,3.0,0.0,0,0,sales,low
0.45,0.45,1.9999999999999998,131.0,3.0,0.0,1,0,sales,low
0.42,0.51,1.9999999999999998,136.0,3.0,0.0,1,0,technical,low
0.43,0.57,1.9999999999999998,157.0,3.0,0.0,1,0,sales,low
0.9,0.58,3.0,244.0,8.0,0.0,0,0,sales,medium
0.76,0.56,3.0,179.0,3.0,1.0,0,0,sales,low
0.13,0.61,5.0,198.0,5.0,0.0,0,0,sales,medium
0.7,0.75,4.0,204.0,3.0,0.0,0,0,technical,low
0.88,1.0,4.0,259.0,5.0,0.0,1,0,sales,low
0.74,0.67,5.0,140.0,3.0,0.0,0,0,hr,medium
0.44,0.53,1.9999999999999998,155.0,3.0,0.0,1,0,product_mng,low
0.93,0.81,3.0,143.0,3.0,0.0,0,0,support,low
0.52,0.64,5.0,258.0,2.0,0.0,0,0,support,low
0.89,1.0,5.0,253.0,5.0,0.0,1,0,technical,low
0.59,0.51,1.9999999999999998,145.0,5.0,0.0,0,0,technical,medium
0.91,0.77,4.0,167.0,3.0,1.0,0,0,product_mng,low
0.08999999999999997,0.8,7.0,283.0,5.0,0.0,1,0,technical,low
0.56,0.39,3.0,106.0,8.0,0.0,0,0,management,high
0.12,0.49,4.0,191.0,5.0,0.0,0,0,product_mng,medium
0.43,0.49,1.9999999999999998,135.0,3.0,0.0,1,0,sales,low
0.88,0.68,4.0,274.0,4.0,0.0,0,0,sales,low
0.97,0.94,4.0,253.0,3.0,0.0,0,0,support,low
0.62,0.97,4.0,266.0,3.0,0.0,0,0,management,high
0.63,0.62,4.0,184.0,4.0,0.0,0,0,support,low
0.89,0.57,4.0,176.0,4.0,0.0,0,0,support,medium
0.4,0.5,1.9999999999999998,130.0,3.0,0.0,1,0,sales,low
0.71,0.74,3.0,202.0,2.0,0.0,0,0,RandD,medium
0.68,0.61,3.0,134.0,4.0,0.0,0,0,sales,low
0.7,0.6,5.0,208.0,3.0,0.0,0,0,management,high
0.82,0.71,5.0,208.0,2.0,0.0,0,0,management,medium
0.6,0.42,1.9999999999999998,109.0,6.0,0.0,0,0,sales,medium
0.86,0.82,1.9999999999999998,207.0,4.0,1.0,0,0,technical,medium
0.6,0.77,4.0,229.0,2.0,0.0,0,0,sales,low
0.77,0.91,5.0,236.0,5.0,0.0,1,0,marketing,low
0.75,0.74,3.0,186.0,3.0,1.0,0,0,RandD,medium
0.46,0.5,1.9999999999999998,157.0,3.0,0.0,1,0,product_mng,low
0.51,0.95,4.0,201.0,3.0,0.0,0,0,technical,low
0.54,0.46,1.9999999999999998,98.0,4.0,0.0,0,0,support,medium
0.82,0.51,5.0,232.0,3.0,0.0,0,0,marketing,low
0.38,0.45,1.9999999999999998,129.0,3.0,0.0,1,0,support,low
0.41,0.46,1.9999999999999998,128.0,3.0,0.0,1,0,accounting,low
0.52,0.58,4.0,134.0,3.0,0.0,0,0,technical,low
0.46,0.49,1.9999999999999998,138.0,3.0,0.0,1,0,support,low
0.57,0.67,5.0,235.0,2.0,0.0,0,0,product_mng,low
0.35,0.54,1.9999999999999998,124.0,3.0,0.0,0,0,support,low
0.96,1.0,3.0,231.0,6.0,0.0,0,0,sales,medium
0.8,0.95,5.0,217.0,5.0,0.0,1,0,support,low
0.84,0.76,5.0,215.0,2.0,1.0,0,0,support,low
0.49,0.94,5.0,136.0,3.0,0.0,0,0,product_mng,low
0.09999999999999998,0.82,6.0,244.0,4.0,0.0,1,0,technical,low
0.89,0.5,4.0,147.0,2.0,0.0,0,0,technical,low
0.96,0.53,5.0,224.0,4.0,0.0,0,0,sales,low
0.42,0.54,1.9999999999999998,156.0,3.0,0.0,1,0,sales,low
0.6,0.88,3.0,261.0,3.0,1.0,0,0,marketing,low
0.98,0.67,4.0,209.0,6.0,0.0,0,0,marketing,medium
0.88,0.58,5.0,264.0,3.0,0.0,0,0,technical,low
0.3,0.71,3.0,155.0,2.0,0.0,0,0,sales,low
0.69,0.52,3.0,186.0,3.0,0.0,0,0,product_mng,low
0.88,0.91,4.0,233.0,4.0,0.0,0,0,technical,medium
0.49,0.84,5.0,193.0,3.0,0.0,0,0,product_mng,low
0.09999999999999998,0.95,7.0,301.0,4.0,0.0,1,0,marketing,low
0.17000000000000004,0.89,5.0,261.0,5.0,0.0,0,0,marketing,medium
0.82,0.75,5.0,160.0,3.0,1.0,0,0,product_mng,low
0.77,0.58,4.0,243.0,4.0,1.0,0,1,sales,medium
0.45,0.55,1.9999999999999998,151.0,3.0,0.0,1,0,product_mng,low
0.45,0.54,1.9999999999999998,135.0,3.0,0.0,1,0,sales,low
0.97,0.55,4.0,258.0,3.0,0.0,0,0,hr,medium
0.24,0.58,5.0,279.0,4.0,0.0,0,0,marketing,medium
0.76,0.45,5.0,177.0,6.0,0.0,0,0,support,medium
0.71,0.72,3.0,271.0,2.0,0.0,0,0,support,low
0.81,0.81,4.0,212.0,2.0,1.0,0,0,sales,low
0.97,0.63,3.0,270.0,4.0,1.0,0,0,technical,medium
0.44,0.74,5.0,253.0,2.0,0.0,0,0,accounting,low
0.87,0.84,5.0,216.0,3.0,1.0,0,0,support,low
0.10999999999999999,0.96,6.0,298.0,4.0,0.0,1,0,sales,low
0.16000000000000003,0.76,4.0,223.0,4.0,0.0,0,0,technical,medium
0.85,0.89,4.0,251.0,2.0,0.0,0,0,support,low
0.81,0.69,5.0,109.0,2.0,0.0,0,0,product_mng,low
0.89,0.77,4.0,269.0,4.0,0.0,0,0,sales,low
0.92,0.62,3.0,264.0,2.0,0.0,0,0,sales,low
0.38,0.56,1.9999999999999998,154.0,3.0,0.0,1,0,sales,low
0.75,1.0,5.0,223.0,6.0,0.0,1,0,accounting,low
0.38,0.47,1.9999999999999998,143.0,3.0,0.0,1,0,technical,low
0.15000000000000002,0.98,1.9999999999999998,96.0,2.0,0.0,0,0,sales,low
0.74,0.85,3.0,176.0,3.0,0.0,0,0,management,high
0.09999999999999998,0.84,6.0,293.0,5.0,0.0,1,0,marketing,low
0.15000000000000002,0.92,5.0,164.0,3.0,0.0,0,0,sales,low
0.20999999999999996,0.65,5.0,223.0,3.0,1.0,0,0,sales,low
0.55,0.63,5.0,184.0,4.0,0.0,0,0,marketing,medium
0.79,0.85,4.0,100.0,6.0,0.0,0,0,support,medium
0.92,0.67,1.9999999999999998,252.0,2.0,0.0,0,0,sales,low
0.81,0.52,3.0,162.0,3.0,0.0,0,0,marketing,low
0.44,0.57,1.9999999999999998,148.0,3.0,0.0,1,0,technical,low
0.77,0.77,3.0,219.0,2.0,0.0,0,0,sales,low
0.62,0.73,3.0,138.0,3.0,0.0,0,0,RandD,medium
0.4,0.48,1.9999999999999998,142.0,3.0,0.0,1,0,marketing,low
0.74,0.74,5.0,160.0,3.0,1.0,0,0,sales,low
0.8,0.95,4.0,272.0,2.0,0.0,0,0,sales,low
0.63,0.74,4.0,173.0,3.0,0.0,0,0,product_mng,low
0.7,0.59,3.0,138.0,3.0,0.0,0,0,RandD,medium
0.77,0.59,4.0,273.0,2.0,0.0,0,0,product_mng,low
0.66,0.47,7.0,156.0,2.0,0.0,1,0,management,low
0.77,0.71,1.9999999999999998,242.0,2.0,0.0,0,0,marketing,low
0.91,0.53,4.0,212.0,3.0,0.0,0,0,technical,low
0.09999999999999998,0.93,6.0,258.0,4.0,0.0,1,0,RandD,low
0.81,0.8,5.0,132.0,2.0,1.0,0,0,management,medium
0.86,0.51,4.0,211.0,2.0,1.0,0,0,technical,low
0.6,0.73,5.0,241.0,3.0,0.0,0,0,sales,low
0.28,0.59,6.0,281.0,3.0,0.0,0,0,product_mng,low
0.91,0.75,4.0,159.0,3.0,1.0,0,0,support,low
0.86,0.51,4.0,152.0,3.0,0.0,0,0,technical,low
0.45,0.55,1.9999999999999998,155.0,3.0,0.0,1,0,technical,low
0.53,0.7,4.0,223.0,3.0,0.0,0,0,sales,low
0.59,0.92,3.0,138.0,10.0,0.0,0,0,support,medium
0.95,0.65,3.0,183.0,3.0,0.0,0,0,support,low
0.39,0.48,1.9999999999999998,127.0,3.0,0.0,1,0,accounting,low
0.54,0.64,3.0,250.0,3.0,0.0,0,0,sales,low
0.63,0.54,3.0,145.0,2.0,1.0,0,0,technical,low
0.96,0.6,4.0,170.0,2.0,1.0,0,0,product_mng,low
0.91,0.4,6.0,153.0,3.0,0.0,0,0,technical,low
0.63,0.94,4.0,219.0,3.0,0.0,0,0,product_mng,low
0.82,0.6,5.0,232.0,2.0,0.0,0,0,technical,low
0.43,0.51,1.9999999999999998,136.0,3.0,0.0,1,0,hr,low
0.48,0.7,3.0,251.0,3.0,0.0,0,0,product_mng,low
0.56,0.98,5.0,171.0,3.0,1.0,0,0,sales,low
0.65,0.56,3.0,259.0,3.0,0.0,0,0,marketing,medium
0.75,0.77,5.0,199.0,4.0,0.0,0,0,sales,low
